Date,Open,High,Low,Close,Adj Close,Volume
2015-02-27,185.250000,185.899994,181.949997,182.850006,182.850006,6721
2015-03-02,182.500000,182.949997,175.500000,176.449997,176.449997,11396
2015-03-03,176.800003,177.500000,174.800003,175.500000,175.500000,11037
2015-03-04,178.250000,180.250000,177.050003,179.199997,179.199997,5100
2015-03-05,182.649994,186.449997,181.750000,184.100006,184.100006,8885
2015-03-06,182.449997,184.500000,180.850006,180.850006,180.850006,8948
2015-03-09,179.800003,179.800003,173.699997,174.500000,174.500000,12834
2015-03-10,177.199997,179.899994,174.500000,179.899994,179.899994,7678
2015-03-11,178.949997,184.699997,178.100006,184.199997,184.199997,8331
2015-03-12,182.399994,183.000000,181.050003,181.149994,181.149994,16515
2015-03-13,180.500000,181.000000,177.100006,180.050003,180.050003,6944
2015-03-16,179.850006,183.500000,179.500000,181.149994,181.149994,11811
2015-03-17,184.300003,186.500000,182.250000,184.000000,184.000000,8751
2015-03-18,183.800003,185.000000,182.500000,184.449997,184.449997,5140
2015-03-19,187.500000,191.600006,186.000000,186.550003,186.550003,9448
2015-03-20,184.000000,184.699997,181.949997,182.699997,182.699997,3291
2015-03-23,184.250000,184.250000,181.199997,182.399994,182.399994,4170
2015-03-24,182.399994,186.449997,181.100006,185.550003,185.550003,3215
2015-03-25,184.050003,184.399994,176.800003,176.850006,176.850006,6846
2015-03-26,177.000000,177.250000,173.500000,176.449997,176.449997,6271
2015-03-27,176.149994,176.500000,168.250000,168.800003,168.800003,12628
2015-03-30,171.500000,173.250000,167.850006,168.500000,168.500000,10007
2015-03-31,178.000000,180.000000,177.250000,179.449997,179.449997,10910
2015-04-01,174.000000,177.000000,173.500000,174.000000,174.000000,5804
2015-04-02,174.000000,177.850006,173.300003,176.399994,176.399994,7278
2015-04-07,186.199997,188.000000,185.050003,186.250000,186.250000,24316
2015-04-08,188.000000,197.000000,186.199997,192.100006,192.100006,16483
2015-04-09,193.199997,194.800003,192.149994,193.699997,193.699997,8431
2015-04-10,197.750000,200.000000,197.149994,197.949997,197.949997,7462
2015-04-13,199.000000,201.000000,198.000000,199.199997,199.199997,19215
2015-04-14,199.399994,200.000000,192.300003,193.449997,193.449997,17342
2015-04-15,195.250000,196.949997,194.649994,196.000000,196.000000,5870
2015-04-16,194.600006,195.500000,192.550003,192.699997,192.699997,4295
2015-04-17,193.000000,193.000000,186.550003,189.250000,189.250000,6966
2015-04-20,191.000000,197.100006,190.750000,191.199997,191.199997,7066
2015-04-21,192.250000,195.050003,191.600006,195.050003,195.050003,3411
2015-04-22,195.149994,205.100006,193.149994,204.149994,204.149994,21507
2015-04-23,204.800003,206.000000,201.750000,202.300003,202.300003,7584
2015-04-24,201.899994,204.399994,201.000000,202.449997,202.449997,9706
2015-04-27,202.399994,218.449997,201.550003,218.449997,218.449997,10760
2015-04-28,214.250000,215.500000,206.649994,213.699997,213.699997,13048
2015-04-29,210.699997,212.000000,204.850006,207.100006,207.100006,8969
2015-04-30,208.750000,209.100006,202.199997,204.550003,204.550003,9087
2015-05-04,204.699997,209.949997,203.699997,208.300003,208.300003,11234
2015-05-05,211.000000,217.050003,207.649994,207.649994,207.649994,14542
2015-05-06,208.449997,210.699997,203.100006,204.449997,204.449997,6753
2015-05-07,206.199997,207.000000,191.300003,202.649994,202.649994,15264
2015-05-08,212.000000,212.000000,207.149994,210.100006,210.100006,9933
2015-05-11,212.000000,217.350006,208.300003,214.399994,214.399994,12209
2015-05-12,214.449997,219.050003,210.550003,217.500000,217.500000,12328
2015-05-13,219.000000,221.600006,214.000000,214.250000,214.250000,13763
2015-05-14,213.899994,216.000000,211.949997,213.199997,213.199997,2550
2015-05-15,214.500000,217.050003,214.350006,215.600006,215.600006,7993
2015-05-18,218.149994,220.000000,215.600006,217.250000,217.250000,7753
2015-05-19,220.500000,225.000000,220.500000,224.550003,224.550003,8172
2015-05-20,223.800003,223.800003,217.600006,218.350006,218.350006,5278
2015-05-21,219.000000,221.750000,217.949997,220.850006,220.850006,4177
2015-05-22,221.050003,224.500000,219.250000,222.399994,222.399994,5282
2015-05-26,226.899994,230.000000,224.600006,228.000000,228.000000,8998
2015-05-27,228.000000,230.949997,225.899994,226.649994,226.649994,8188
2015-05-28,227.000000,229.949997,225.000000,229.350006,229.350006,6425
2015-05-29,229.949997,230.000000,227.600006,228.000000,228.000000,8996
2015-06-01,229.399994,231.000000,226.050003,228.300003,228.300003,4628
2015-06-02,228.899994,228.899994,221.850006,222.750000,222.750000,5674
2015-06-03,223.000000,224.449997,219.949997,221.000000,221.000000,12349
2015-06-04,221.100006,221.350006,216.199997,219.850006,219.850006,7074
2015-06-05,218.199997,224.199997,217.949997,222.000000,222.000000,6499
2015-06-08,225.500000,230.550003,224.000000,229.449997,229.449997,9967
2015-06-09,227.050003,228.500000,225.750000,227.600006,227.600006,5049
2015-06-10,226.800003,227.449997,219.500000,222.300003,222.300003,8044
2015-06-11,222.300003,226.550003,221.750000,223.949997,223.949997,5656
2015-06-12,223.800003,225.899994,223.000000,223.449997,223.449997,5365
2015-06-15,223.750000,223.750000,219.449997,220.699997,220.699997,4303
2015-06-16,220.000000,224.800003,219.500000,224.300003,224.300003,4068
2015-06-17,225.000000,235.000000,224.000000,231.850006,231.850006,8380
2015-06-18,230.000000,231.149994,227.750000,230.350006,230.350006,6270
2015-06-19,231.199997,232.800003,229.449997,230.550003,230.550003,5808
2015-06-22,233.199997,235.000000,224.649994,228.449997,228.449997,7881
2015-06-23,231.899994,237.750000,230.550003,237.100006,237.100006,11427
2015-06-24,239.000000,239.800003,237.100006,237.649994,237.649994,10730
2015-06-25,237.750000,239.800003,236.350006,238.699997,238.699997,6232
2015-06-26,239.800003,241.699997,238.699997,240.000000,240.000000,7564
2015-06-29,235.000000,238.699997,233.350006,234.300003,234.300003,10337
2015-06-30,234.949997,240.199997,234.250000,239.699997,239.699997,5835
2015-07-01,242.899994,246.550003,242.850006,244.199997,244.199997,4756
2015-07-02,243.699997,255.000000,243.550003,247.500000,247.500000,9790
2015-07-03,254.000000,256.700012,253.199997,256.299988,256.299988,8486
2015-07-06,252.750000,255.750000,250.699997,253.449997,253.449997,13531
2015-07-07,252.449997,253.800003,238.199997,239.399994,239.399994,16185
2015-07-08,239.149994,240.399994,230.350006,234.449997,234.449997,17348
2015-07-09,231.449997,238.300003,230.699997,234.750000,234.750000,9753
2015-07-10,236.399994,239.199997,231.000000,234.699997,234.699997,11138
2015-07-13,234.000000,238.500000,232.699997,234.449997,234.449997,7025
2015-07-14,239.250000,241.100006,236.100006,240.699997,240.699997,7010
2015-07-15,242.800003,244.149994,241.050003,241.300003,241.300003,6911
2015-07-16,242.699997,245.000000,242.000000,245.000000,245.000000,5390
2015-07-17,248.449997,252.149994,247.449997,250.199997,250.199997,7746
2015-07-20,253.899994,260.700012,252.000000,260.500000,260.500000,8857
2015-07-21,259.899994,260.049988,244.600006,246.149994,246.149994,29227
2015-07-22,243.000000,245.449997,238.199997,241.699997,241.699997,7905
2015-07-23,246.500000,247.899994,243.000000,244.750000,244.750000,6434
2015-07-24,245.800003,246.699997,242.800003,245.600006,245.600006,4646
2015-07-27,242.350006,242.350006,235.000000,236.149994,236.149994,7476
2015-07-28,230.449997,233.600006,228.550003,233.550003,233.550003,10696
2015-07-29,240.500000,241.800003,237.699997,241.250000,241.250000,4141
2015-07-30,241.300003,242.500000,238.100006,240.850006,240.850006,4999
2015-07-31,243.100006,245.449997,240.300003,241.949997,241.949997,4104
2015-08-03,242.500000,244.500000,240.000000,241.350006,241.350006,2804
2015-08-04,237.800003,240.649994,235.550003,240.100006,240.100006,3174
2015-08-05,245.699997,247.000000,239.449997,243.949997,243.949997,5456
2015-08-06,234.500000,234.899994,217.300003,221.149994,221.149994,24214
2015-08-07,225.699997,225.699997,219.500000,219.750000,219.750000,5929
2015-08-10,221.149994,223.949997,215.149994,217.000000,217.000000,12184
2015-08-11,219.000000,219.899994,212.500000,212.550003,212.550003,5498
2015-08-12,211.500000,213.600006,207.500000,212.350006,212.350006,13492
2015-08-13,216.250000,220.750000,214.699997,218.600006,218.600006,13276
2015-08-14,218.000000,222.699997,217.350006,219.800003,219.800003,7291
2015-08-17,221.000000,233.000000,220.000000,227.350006,227.350006,9771
2015-08-18,231.750000,235.000000,229.000000,233.399994,233.399994,9256
2015-08-19,236.600006,239.449997,232.100006,232.300003,232.300003,17145
2015-08-20,230.000000,230.000000,218.899994,219.699997,219.699997,7619
2015-08-21,211.199997,215.850006,206.399994,206.449997,206.449997,9703
2015-08-24,189.899994,196.800003,168.300003,192.149994,192.149994,34232
2015-08-25,198.500000,203.000000,195.000000,200.500000,200.500000,34600
2015-08-26,196.000000,201.949997,190.649994,190.649994,190.649994,10744
2015-08-27,200.850006,215.500000,200.000000,213.949997,213.949997,20764
2015-08-28,217.899994,223.300003,212.050003,223.250000,223.250000,10100
2015-08-31,220.600006,225.649994,216.649994,224.399994,224.399994,12278
2015-09-01,217.149994,218.149994,211.850006,217.000000,217.000000,9294
2015-09-02,216.500000,218.449997,214.000000,215.199997,215.199997,4572
2015-09-03,225.500000,227.949997,222.699997,225.449997,225.449997,17773
2015-09-04,219.300003,219.500000,214.750000,218.250000,218.250000,16588
2015-09-07,220.500000,220.850006,218.050003,219.000000,219.000000,2615
