"","City","Purchase.Power","Pollution","Quality.of.Life","Crime.Rating"
"130","Lausanne",90.77,87.62,73.21,35.55
"131","Oslo",52.51,29.39,71.27,35.53
"132","Mumbai",28.83,70.49,26.43,34.63
"133","Prague",35.32,41.53,58.85,34.54
"134","Bratislava",29.29,30.55,56.18,34.38
"135","Budapest",24.59,68.38,46.58,34.18
"136","Belfast",52.8,29.24,80.55,34.06
"137","Malmo",52.56,83.45,60.32,33.97
"138","Bucharest",22.85,74.57,29.45,33.41
"139","Chennai",32.91,78.07,43.89,33.22
"140","Brighton",50.56,50.25,62.62,33.12
"141","Ljubljana",32.28,85.59,61.87,32.94
"142","Darwin",49.51,6.78,78.52,32.8
"143","Sydney",54.82,18.48,74.32,32.8
"144","Copenhagen",49.33,30.54,75.23,32.39
"145","Riyadh",63.22,11.48,67.72,32.39
"146","Zagreb",26.71,83.45,47.59,32.29
"147","San Francisco",63.54,17.06,79.08,32.25
"148","Vadodara",36.37,92.42,54.98,32.03
"149","Warsaw",35.77,86.16,51.82,32.03
"150","Montreal",66.99,6.27,78.55,31.63
"151","Edmonton",67.19,22.79,89.58,31.14
"152","Edinburgh",58.77,13.94,75.03,30.51
"153","Charlotte",77.18,67.05,84.39,30.21
"154","Asheville",70.51,30.55,81.34,30.21
"155","Rochester",60.78,31.6,78.05,30.21
"156","Indianapolis",80.72,82.08,77.13,30.21
"157","Newark",84.39,62.14,73.21,30.21
"158","Vancouver",48.06,18.48,71.89,30.03
"159","The Hague",68.28,37.21,79.99,29.76
"160","Amsterdam",47.18,53.42,72.85,29.76
"161","Utrecht",49.87,18.27,72.61,29.76
"162","Calgary",63.9,23.53,87.57,29.53
"163","Leeds",63.88,18.48,78.06,28.91
"164","Liverpool",53.78,55.35,83.14,28.7
"165","Basel",78.17,59.18,88.27,28.12
"166","Vilnius",24.17,82.08,64.19,27.93
"167","Frankfurt",62.6,14.54,88.04,27.55
"168","Vienna",51.21,22.39,77.21,27.45
"169","Toronto",61.44,8.95,77.02,27.4
"170","Wellington",49.11,30.55,79.83,27.38
"171","Doha",81.96,83.45,80.28,27.17
"172","Cologne",59.18,68.41,82.82,27.08
"173","Minsk",16.14,66.89,51.66,26.82
"174","Valencia",49.11,35.24,64.89,26.04
"175","Addis Ababa",6.38,85.59,28.41,26.04
"176","Izmir",32.12,30.55,42.9,25.91
"177","Stockholm",51.03,13.93,78.58,25.62
"178","Gothenburg",26.95,92.42,71.51,25.62
"179","Hamburg",61.13,67.78,87.18,25.52
"180","Nashville",80.3,0,80.5,25.5
"181","Aberdeen",49.7,34.31,76.77,24.22
"182","Leicester",71.88,18.04,76.19,24.22
"183","Oxford",50.33,11.48,72.09,24.22
"184","Cambridge",54.76,57.18,70.61,24.22
"185","Manchester",62.31,0,73,24.2
"186","Berlin",68.72,16.05,91.17,24.18
"187","Stuttgart",65.82,16.89,90.4,23.96
"188","Limassol",40.13,26.74,74.83,23.75
"189","Ottawa",91.85,33.55,86.11,22.25
"190","Sliema",52.84,67.78,65.03,22.19
"191","Venice",45.69,11.48,70.34,21.48
"192","Seoul",54.3,85.59,60.28,21.35
"193","Stavanger",46.59,29.13,76.5,20.83
"194","Singapore",33.14,18.48,42.65,19.96
"195","Trondheim",51.22,14.53,82.67,19.8
"196","Manama",40.26,17.06,63.85,19.79
"197","Dubai",69.64,30.81,85.16,19.36
"198","Luxembourg",76.44,57.17,81.41,18.75
"199","Ahmedabad",33.69,68.21,57.01,18.18
"200","Braga",30.21,14.54,69.91,18.12
"201","Davao",17.63,77.98,30.66,17.71
"202","Indore",35.79,59.42,48.53,16.93
"203","Kochi",28.98,71.78,45.13,16.93
"204","Bergen",51.24,18.4,83.76,16.67
"205","Shanghai",26.74,61.74,31.66,16.51
"206","Hong Kong",50.07,14.88,59.5,16.31
"207","Taipei",38.19,87.62,52.35,15.71
"208","Zurich",79.58,18.04,97.91,15.35
"209","Aachen",60.55,11.69,90.52,15.34
"210","Dresden",82.6,16.89,90.21,15.34
"211","Munich",63.28,43.08,90.08,15.34
"212","Dusseldorf",72.52,8.61,88.02,15.34
"213","Tokyo",47.57,30.54,69.29,13.91
"214","Abu Dhabi",68.03,53.42,80.8,10.86
"215","Marbella",60.14,32.27,75.24,9.11
"216","Malaga",45.77,30.55,67.9,9.11
